URL,Page type,Primary topic,Search intent,Target audience,Primary keyword,Secondary keywords,Location intent,Funnel stage,Word count,Indexable,Canonical,Organic role,GEO role,Conversion action,Quality score,Update priority,Notes
/,Homepage,Physical therapy and recovery support,Local commercial,NYC adults seeking PT or recovery support,physical therapy Midtown Manhattan,movement analysis; recovery support,High,Discovery,1286,Yes,https://ywphysicaltherapy.com/,Entity hub,Entity summary,Book assessment,4,High,Clinical and business facts need verification
/about/,Legacy duplicate,Clinician bio,Navigational,Prospective patients,Dr Yu-Kuang Wu,physical therapist researcher,Medium,Trust,814,No,https://ywphysicaltherapy.com/about-dr-eric-wu/,Redirect only,None,None,1,Complete,301 configured
/about-dr-eric-wu/,Author page,Clinician identity,Trust and navigational,Prospective patients and referring providers,Dr Yu-Kuang Wu PT PhD,Eric Wu physical therapist,Medium,Trust,814,Yes,https://ywphysicaltherapy.com/about-dr-eric-wu/,Authority page,Person entity,Book session,3,High,Credentials and affiliations require verification
/ai-movement-evaluation/,Service,AI-assisted movement analysis,Commercial investigation,People seeking movement assessment,AI movement analysis NYC,mobility; balance; asymmetry,High,Consideration,678,Yes,https://ywphysicaltherapy.com/ai-movement-evaluation/,Primary assessment page,Direct service answer,Book assessment,4,Medium,Overlaps movement-analysis-nyc
/back-pain-nyc/,Condition,Back pain PT,Local commercial,Adults with back pain,back pain physical therapy NYC,Midtown PT; movement assessment,High,Consideration,792,Yes,https://ywphysicaltherapy.com/back-pain-nyc/,Condition cluster,Condition summary,Book assessment,3,High,Root-cause claims require review
/blog/,Resource index,PT education,Informational,Patients researching care,physical therapy resources,movement guides; research summaries,Medium,Discovery,406,Yes,https://ywphysicaltherapy.com/blog/,Education hub,Weak until articles exist,Explore resources,2,Medium,No full article routes found
/book/,Conversion,Booking,Transactional,Prospective patients,book physical therapy NYC,appointment; Midtown PT,High,Conversion,556,Yes,https://ywphysicaltherapy.com/book/,Conversion page,Appointment facts,Book session,4,High,Hours and process require verification
/compex-ems-nyc/,Service,EMS therapy,Commercial investigation,Rehab and sports patients,Compex EMS therapy NYC,electrical stimulation; muscle re-education,High,Consideration,759,Yes,https://ywphysicaltherapy.com/compex-ems-nyc/,Technology cluster,Service explanation,Book session,3,High,Outcome claims require evidence review
/desk-worker-body-reset/,Audience service,Desk worker recovery,Commercial investigation,Office workers,desk worker body reset NYC,neck tension; posture recovery,High,Consideration,705,Yes,https://ywphysicaltherapy.com/desk-worker-body-reset/,Audience cluster,Service answer,Book session,3,Medium,Overlap with desk-worker-pain
/desk-worker-pain-nyc/,Condition audience,Desk-worker pain PT,Local commercial,Office workers,physical therapy for desk workers NYC,neck pain; back pain; hip pain,High,Consideration,754,Yes,https://ywphysicaltherapy.com/desk-worker-pain-nyc/,Condition cluster,Audience answer,Book assessment,3,High,Rapid outcome wording requires review
